"Name";"Ingredients";"Energy_kcal";"Fat_g";"Carbohydrates_g";"Fiber_g";"Protein_g"
"pierogi-ze-szpinakiem-i-serem";c("mąka pszenna tortowa", "woda", "jajko", "olej", "sól", "szpinak świeży", "ser twaróg półtłusty", "ser feta", "cebula", "masło", "ząbek czosnku", "sól", "pieprz czarny");"566,4";"17,7";"81,4";"3";"19,2"
"ryba-z-piekarnika";c("pstrąg, filet", "woda", "cytryna", "cebula", "ząbek czosnku", "oliwa z oliwek", "sól", "rozmaryn świeży", "tymianek świeży", "szałwia świeża");"734,6";"44,7";"44,3";"11,8";"52,2"
"makaron-w-sosie-smietankowym";c("makaron spaghetti", "śmietana 30%", "żółta cukinia", "cukinia", "ząbek czosnku", "parmezan", "masło", "sól", "pieprz czarny", "bazylia świeża");"567,6";"24,7";"66,8";"0,5";"19,1"
"makaron-z-kurczakiem-i-pieczarkami";c("makaron tagliatelle", "kurczak filety z piersi", "pieczarka", "śmietana 30%", "wino białe", "parmezan", "cebula", "ząbek czosnku", "masło", "oliwa z oliwek", "sól", "pieprz czarny", "natka pietruszki");"763,4";"28,2";"63,7";"1";"39,7"
"kurczak-po-toskansku";c("kurczak filety z piersi", "śmietana 30%", "szpinak liście, świeży", "pomidor suszony", "bulion drobiowy", "ser mascarpone", "parmezan", "wino białe", "cebula", "ząbek czosnku", "masło", "oliwa z oliwek", "oregano świeże", "rozmaryn świeży", "tymianek świeży", "szałwia świeża", "sól", "pieprz ziołowy, mielony");"763,4";"31,6";"23,3";"5";"55,5"
"tagliatelle-z-kurczakiem";c("makaron tagliatelle", "kurczak filety z piersi", "śmietanka kremówka 30%", "parmezan", "cebula", "ząbek czosnku", "oliwa z oliwek", "sól", "pieprz czarny", "oregano suszone", "papryka wędzona mielona", "szczypior cebuli");"728,1";"26,7";"61,5";"0,9";"40,5"
"calzone";c("mąka włoska typ 00", "woda", "sól", "oliwa z oliwek", "drożdże suszone", "mozzarella", "passata pomidorowa", "kiełbasa salami", "ser ricotta", "ząbek czosnku", "oliwa z oliwek", "sól", "pieprz czarny", "oregano suszone");"710,5";"20,4";"99,8";"4,3";"25,3"
"pulpety-w-sosie-pomidorowym";c("mięso mielone wieprzowe", "bułka tarta", "mleko", "jajko", "cebula", "ząbek czosnku", "natka pietruszki", "olej", "sól", "pieprz czarny", "pomidory krojone z puszki", "bulion warzywny", "cebula", "ząbek czosnku", "oliwa z oliwek", "sól", "pieprz czarny", "oregano suszone");"528,9";"29,7";"35,4";"4,5";"32"
"farsz-do-pierogow-z-serem-parmigiano-reggiano";c("ziemniak", "parmiggiano reggiano", "ząbek czosnku", "cebula", "natka pietruszki", "oliwa z oliwek", "sól", "pieprz czarny");"267,7";"13";"21,2";"2,1";"16"
"grzybowy-sos-pieczeniowy";c("grzyby suszone", "woda", "pieczarki brązowe", "marchew", "seler naciowy", "korzeń pietruszki", "cebula", "oliwa z oliwek", "przyprawa do piernika", "śliwka suszona", "piramidka smaku do rosołu", "sos sojowy", "bulion warzywny", "cukier trzcinowy", "sól", "pieprz czarny");"95,2";"3,6";"14,5";"3,5";"2,7"
"haluszki-z-wedzonymi-serkami-i-sosem-zurawinowym";c("ziemniak", "jajko", "mąka pszenna", "sól", "pieprz czarny", "olej", "ser górski", "ząbek czosnku", "natka pietruszki", "konfitura żurawinowa", "musztarda dijon", "cytryna", "olej", "natka pietruszki");"573,2";"35,5";"48,6";"2";"15,8"
"losos-pieczony-na-ogniu-z-surowka-z-czerwonej-kapusty";c("łosoś atlantycki, filet ze skórą", "musztarda francuska", "miód", "limonka", "ząbek czosnku", "kolendra ziarna", "kolendra świeża", "oliwa z oliwek", "sól", "pieprz biały", "kapusta czerwona", "miód", "oliwa z oliwek", "limonka", "cebula czerwona", "kolendra świeża");"246,4";"16,9";"21,3";"3,9";"6,3"
"ognisty-makaron-udon-z-tsushimy";c("makaron udon", "pierś z kurczaka", "cebula", "ząbek czosnku", "olej", "czerwona pasta curry", "papryczka chili czerwona", "marchew", "brokuł", "papryka czerwona", "mleczko kokosowe", "sos rybny");"659,8";"27,8";"60,9";"8,8";"43,4"
"poke-bowl-ze-szpinakiem-ananasem-i-marynowanym-tofu";c("ryż jaśminowy", "tofu", "sos sojowy", "olej sezamowy", "syrop klonowy", "imbir mielony", "olej", "szpinak świeży", "ananas", "cebula czerwona", "awokado", "sezam czarny");"859,4";"44,6";"96";"10,6";"22,5"
"ges-faszerowana-jablkami-z-gozdzikami-i-cynamonem";c("gęś", "jabłko", "czosnek główka", "tymianek świeży", "imbir świeży", "miód", "olej", "goździki", "cynamon", "woda", "ząbek czosnku", "majeranek suszony", "olej", "sól");"314";"13,6";"15,8";"3,8";"29,4"
"zapiekany-makaron-z-warzywami-szynka-i-zielonym-pesto";c("oliwa z oliwek", "masło", "cebula", "szynka gotowana", "warzywa, mrożone", "makaron penne", "śmietana 30%", "ser cheddar", "mozzarella", "pesto", "szczypior cebuli", "sól", "pieprz czarny");"552,7";"31,6";"35,9";"4,4";"28,6"
"pulpety-z-indyka-w-sosie-kurkowym";c("indyk", "bułka czerstwa", "cebula", "ząbek czosnku", "jajko", "mleko 1,5%", "olej", "sól", "pieprz czarny", "kurki", "bulion warzywny", "śmietana 30%", "natka pietruszki", "cebula", "masło", "sól", "pieprz czarny");"478,7";"27,7";"30,1";"4,3";"33,6"
"gnocchi-w-sosie-pomidorowym";c("ziemniak", "mąka włoska typ 00", "jajko", "sól", "passata pomidorowa", "parmezan tarty", "ząbek czosnku", "oliwa z oliwek", "bazylia świeża", "oregano świeże", "sól", "pieprz czarny");"503,6";"8";"84,3";"6,4";"17"
"risotto-pomidorowe";c("bulion warzywny", "ryż arborio", "wino białe", "parmezan", "pomidor czerwony", "cebula", "ząbek czosnku", "masło", "oliwa z oliwek", "bazylia świeża", "sól", "pieprz czarny");"314,6";"16,5";"27,2";"1,8";"10,2"
"gnocchi-dyniowe";c("woda", "dynia hokkaido", "ziemniak", "mąka włoska typ 00", "jajko", "sól", "bulion warzywny", "masło", "parmezan tarty", "sól", "pieprz biały");"570,8";"21,3";"76,2";"2,8";"15,3"
"ravioli-ze-szpinakiem-przepis-ktory-pokochasz";c("mąka pszenna z pszenicy durum", "jajko", "oliwa z oliwek", "woda", "sól", "szpinak liście, świeży", "ser ricotta", "parmezan tarty", "ząbek czosnku", "oliwa z oliwek", "jajko", "sól", "pieprz czarny", "gałka muszkatołowa", "wino białe", "masło", "pomidor suszony", "parmezan tarty", "oliwa z oliwek", "ząbek czosnku");"1059,9";"46,6";"106,9";"5,7";"39,1"
"pulpety-w-sosie-wlasnym";c("mięso mielone wołowo", "bułka tarta", "cebula", "mąka pszenna", "jajko", "mleko 1,5%", "olej", "sól", "pieprz czarny", "majeranek", "bulion warzywny", "woda", "cebula", "ząbek czosnku", "marchew", "seler", "seler naciowy", "por", "masło", "mąka pszenna", "ziele angielskie", "liść laurowy", "sól", "pieprz czarny");"584,6";"32,9";"51,7";"5";"27,1"
"risotto-z-groszkiem-przepis-rodem-z-wenecji";c("bulion warzywny", "ryż arborio", "groszek zielony, świeży", "parmezan tarty", "cebula", "ząbek czosnku", "masło", "oliwa z oliwek", "sól", "pieprz czarny", "natka pietruszki");"371,7";"18,5";"37,9";"5,4";"13,9"
"przepis-na-risotto-z-miesem-mielonym";c("bulion na kościach", "mięso mielone wieprzowe", "ryż arborio", "parmezan", "wino białe", "marchew", "cukinia", "masło", "oliwa z oliwek", "sól", "pieprz czarny", "papryka wędzona mielona", "natka pietruszki");"537";"37,8";"35,1";"2,2";"42,8"
"ravioli-z-dynia";c("mąka pszenna z pszenicy durum", "jajko", "oliwa z oliwek", "sól", "dynia", "parmezan", "sól", "pieprz czarny", "gałka muszkatołowa", "parmezan tarty", "prażone orzechy włoskie, posiekane", "masło", "sól", "pieprz czarny", "szałwia świeża");"670";"30,9";"69,7";"2,8";"26,2"
"ravioli-z-miesem";c("mąka pszenna z pszenicy durum", "jajko", "oliwa z oliwek", "woda", "sól", "mięso mielone wieprzowe", "parmezan", "mąka pszenna", "oliwa z oliwek", "cebula", "ząbek czosnku", "jajko", "sól", "pieprz czarny", "bazylia świeża", "cukinia", "wino białe", "masło", "oliwa z oliwek", "ząbek czosnku", "pomidorki koktajlowe");"697,4";"29";"72,9";"3,2";"31,9"
"ravioli-z-grzybami-przepis-na-wloski-przysmak";c("mąka pszenna z pszenicy durum", "jajko", "oliwa z oliwek", "sól", "grzyby leśne, świeże", "parmezan", "wino białe", "cebula", "ząbek czosnku", "sól", "pieprz czarny", "natka pietruszki", "parmezan tarty", "grzyby leśne, świeże", "masło", "skórka cytryny tarta", "sól", "pieprz czarny");"683,2";"27,4";"72,3";"4,4";"28,4"
"parmigiana-di-melanzane-przepis-na-zapiekanke-z-baklazanem";c("pomidory pelati", "bakłażan", "mozzarella", "parmezan tarty", "oliwa z oliwek", "ząbek czosnku", "bazylia świeża", "sól", "pieprz czarny");"385,8";"23,3";"21,8";"5,3";"20,1"
"ravioli-con-uovo-przepis-na-ravioli-z-plynnym-zoltkiem";c("mąka pszenna z pszenicy durum", "jajko", "oliwa z oliwek", "sól", "ser ricotta", "parmezan tarty", "żółtka jaj", "sól", "pieprz czarny", "masło", "parmezan tarty", "szałwia świeża");"962,3";"45,4";"97,5";"3,1";"38"
"przepis-na-pulpety-w-sosie-pieczarkowym";c("mięso mielone wieprzowe", "jajko", "cebula", "ząbek czosnku", "mleko 1,5%", "olej", "sól", "pieprz czarny", "papryka wędzona mielona", "bułka czerstwa", "bulion na kościach drobiowych", "pieczarka", "śmietana 30%", "świeży koperek", "cebula", "ząbek czosnku", "masło", "sól", "pieprz czarny");"491,6";"34,6";"22,5";"1,9";"27,1"
"gnocchi-z-kurczakiem";c("woda", "ziemniak", "mąka włoska typ 00", "jajko", "sól", "pierś z kurczaka", "pomidory pelati z puszki", "bulion warzywny", "cebula", "ząbek czosnku", "masło", "oliwa z oliwek", "sól", "pieprz czarny", "oregano suszone", "rozmaryn suszony", "bazylia świeża");"590,6";"9,7";"85,3";"3,7";"34,3"
"gnocchi-alla-sorrentina-zapiekane-gnocchi-z-pomidorami";c("ziemniak", "mąka włoska typ 00", "jajko", "sól", "pomidor malinowy", "mozzarella", "ząbek czosnku", "oliwa z oliwek", "sól", "pieprz czarny", "bazylia świeża");"644,4";"18";"92,2";"7,2";"25,9"
"risotto-z-kurczakiem";c("pojedynczy filet z kurczaka", "bulion drobiowy", "ryż arborio", "wino białe, wytrawne", "parmezan", "cebula", "ząbek czosnku", "masło", "oliwa z oliwek", "natka pietruszki", "sól", "oregano suszone", "bazylia suszona", "pieprz czarny");"510,9";"23";"24,9";"0,8";"31,8"
"risotto-z-warzywami";c("ryż arborio", "bulion warzywny", "wino białe, wytrawne", "parmezan tarty", "cukinia", "marchew", "pomidory suszone w oleju", "cebula", "ząbek czosnku", "oliwa z oliwek", "masło", "sól", "pieprz czarny", "tymianek świeży");"454,5";"26,3";"36,9";"3,5";"12,7"
